N;x;y;z
1;-12.731;13.451;-4.34685
2;-13.131;13.051;-3.57039
3;-13.989;12.8493;-2.46025
4;-16.7081;12.9579;-2.0329
5;-17.9656;12.6904;-1.52951
6;-19.1053;12.5062;-1.00902
7;-20.2766;12.2839;-0.511355
8;-21.6097;12.0945;-0.0273309
9;-22.814;11.9997;0.482843
10;-24.155;11.7391;0.929571
11;-25.5674;11.3919;1.34299
12;-26.8186;11.2691;1.87037
13;-28.1173;11.1392;2.34411
14;-29.4225;10.9082;2.82118
15;-30.856;10.6146;3.22439
16;-32.156;10.4468;3.6361
17;-33.3747;10.2531;4.145
18;-34.4817;9.99149;4.67162
19;-35.7854;9.77312;5.15732
20;-36.9666;9.56205;5.66233
21;-38.1308;9.35842;6.18599
22;-39.291;9.11926;6.70228
23;-40.5415;8.95563;7.16923
24;-41.6001;8.76107;7.68736
25;-42.6693;8.57847;8.1964
26;-43.76;8.37512;8.66723
27;-44.8403;8.20441;9.14732
28;-45.9145;8.00874;9.618
29;-47.0167;7.86213;10.0457
30;-48.0083;7.65537;10.5257
31;-49.0441;7.53011;10.9917
32;-50.0689;7.36096;11.2833
33;-51.2546;7.20701;11.6626
34;-52.2524;6.99202;12.1101
35;-53.2572;6.88326;12.5009
36;-54.289;6.6152;12.8406
37;-55.3823;6.47284;13.1653
38;-56.3511;6.25492;13.4854
39;-57.3161;6.06867;13.8322
40;-58.2151;5.93233;14.0219
41;-59.2936;5.71743;14.2774
42;-60.2584;5.50473;14.5797
43;-61.2338;5.34164;14.8696
44;-62.1881;5.24741;15.1744
45;-63.0909;5.06427;15.4945
46;-63.9862;4.85502;15.7873
47;-64.9132;4.6646;16.0619
48;-65.8383;4.47624;16.3165
49;-66.7999;4.29439;16.5535
50;-67.6727;4.13044;16.8089
51;-68.5725;3.9495;17.0466
52;-69.4314;3.78104;17.3001
53;-70.3301;3.60356;17.4817
54;-71.2342;3.44175;17.7085
55;-72.0885;3.29508;17.8994
56;-73.0076;3.15818;18.0392
57;-73.8636;2.96659;18.2136
58;-74.7107;2.82664;18.3676
59;-75.5897;2.66095;18.5353
60;-76.5451;2.6135;18.5988
61;-77.3526;2.44746;18.7309
62;-78.1755;2.26179;18.8157
63;-79.0164;2.11773;18.9344
64;-79.8357;1.94732;19.0215
65;-80.6736;1.84128;19.1021
66;-82.0293;2.15215;19.4884
67;-82.651;1.89145;19.4847
68;-83.2887;1.67592;19.5153
69;-84.0506;1.47686;19.5462
70;-84.8439;1.27394;19.5665
71;-85.6126;1.11368;19.5044
72;-86.3878;0.918808;19.5286
73;-87.1306;0.75983;19.5224
74;-87.9003;0.629833;19.5197
75;-88.7256;0.434861;19.4673
76;-89.5077;0.248787;19.4259
77;-90.3056;0.0877709;19.3693
78;-91.0528;0.0235511;19.2621
79;-91.825;-0.036721;19.3066
80;-92.6342;-0.223634;19.1939
81;-93.4008;-0.393623;19.088
82;-94.1905;-0.612588;18.9743
83;-94.9584;-0.779928;18.8945
84;-95.6369;-0.767613;18.908
85;-96.4427;-0.959582;18.7455
86;-97.2392;-1.17495;18.5652
87;-98.0213;-1.31487;18.3982
88;-98.7011;-1.44058;18.2672
89;-99.4669;-1.62674;18.081
90;-100.221;-1.80345;17.8672
91;-100.622;-2.35734;17.4248
92;-101.574;-2.13132;17.4582
93;-102.403;-2.23704;17.231
94;-103.171;-2.3838;16.9984
95;-103.655;-2.38932;16.2381
96;-104.585;-2.42239;15.9174
97;-105.282;-2.5568;15.6209
98;-106.391;-2.31487;15.0791
99;-107.115;-2.62265;14.8582
100;-107.756;-2.8395;14.5486
101;-108.57;-3.12822;14.3714
102;-109.048;-3.39906;13.9487
103;-109.672;-3.42798;13.5788
104;-110.499;-3.6661;13.2872
105;-111.245;-3.82758;12.9573
106;-111.962;-3.94999;12.6329
107;-112.743;-4.0695;12.3062
108;-113.495;-4.27214;11.9475
109;-114.302;-4.44369;11.7459
110;-114.955;-4.56847;11.316
111;-115.716;-4.69477;10.971
112;-116.422;-4.86792;10.5461
113;-117.164;-5.0634;10.1296
114;-118.298;-5.62716;10.9966
115;-118.611;-5.39707;9.58385
116;-119.221;-5.50951;8.95887
117;-120.045;-5.64643;8.52599
118;-120.64;-5.7528;7.89321
119;-121.322;-5.90355;7.60822
120;-122.007;-6.00743;7.02791
121;-122.821;-6.23437;6.54416
122;-123.591;-6.36506;6.09419
123;-124.345;-6.52458;5.5599
124;-124.964;-6.6939;5.02648
125;-125.611;-6.92543;4.5443
126;-126.374;-7.10152;4.05245
127;-127.113;-7.21992;3.50213
128;-127.991;-7.43689;3.18657
129;-128.709;-7.55449;2.77819
130;-129.393;-7.67076;2.3491
131;-130.063;-7.79662;1.88068
132;-130.868;-7.96361;1.53835
133;-131.54;-8.07149;1.0973
134;-132.219;-8.07768;0.676638
135;-133.001;-8.25345;0.198661
136;-133.616;-8.48825;-0.245637
137;-134.331;-8.63555;-0.668507
138;-135.037;-8.7837;-1.15617
139;-136.534;-9.45531;-1.38435
140;-137.22;-9.51281;-1.84337
141;-137.784;-9.58835;-2.31509
142;-138.21;-9.64026;-2.91736
143;-138.983;-9.72938;-3.46881
144;-138.949;-10.0695;-4.34865
145;-139.754;-10.1286;-4.79583

